Befolkning,Alder,Alternativ,År
1450939,40-59 år,Lav fruktbarhet (LMM),2024
609780,60-69 år,Lav fruktbarhet (LMM),2024
486140,70-79 år,Lav fruktbarhet (LMM),2024
258480,80 år eller eldre,Lav fruktbarhet (LMM),2024
553811,0-9 år,Lav fruktbarhet (LMM),2025
653513,10-19 år,Lav fruktbarhet (LMM),2025
1472599,20-39 år,Lav fruktbarhet (LMM),2025
1451407,40-59 år,Lav fruktbarhet (LMM),2025
619023,60-69 år,Lav fruktbarhet (LMM),2025
492151,70-79 år,Lav fruktbarhet (LMM),2025
272910,80 år eller eldre,Lav fruktbarhet (LMM),2025
542526,0-9 år,Lav fruktbarhet (LMM),2026
652105,10-19 år,Lav fruktbarhet (LMM),2026
1472194,20-39 år,Lav fruktbarhet (LMM),2026
1451933,40-59 år,Lav fruktbarhet (LMM),2026
628440,60-69 år,Lav fruktbarhet (LMM),2026
497721,70-79 år,Lav fruktbarhet (LMM),2026
288422,80 år eller eldre,Lav fruktbarhet (LMM),2026
531255,0-9 år,Lav fruktbarhet (LMM),2027
648807,10-19 år,Lav fruktbarhet (LMM),2027
1472624,20-39 år,Lav fruktbarhet (LMM),2027
1452773,40-59 år,Lav fruktbarhet (LMM),2027
637574,60-69 år,Lav fruktbarhet (LMM),2027
499694,70-79 år,Lav fruktbarhet (LMM),2027
308418,80 år eller eldre,Lav fruktbarhet (LMM),2027
522398,0-9 år,Lav fruktbarhet (LMM),2028
643257,10-19 år,Lav fruktbarhet (LMM),2028
1472341,20-39 år,Lav fruktbarhet (LMM),2028
1453914,40-59 år,Lav fruktbarhet (LMM),2028
647842,60-69 år,Lav fruktbarhet (LMM),2028
502665,70-79 år,Lav fruktbarhet (LMM),2028
326168,80 år eller eldre,Lav fruktbarhet (LMM),2028
515009,0-9 år,Lav fruktbarhet (LMM),2029
634320,10-19 år,Lav fruktbarhet (LMM),2029
1471032,20-39 år,Lav fruktbarhet (LMM),2029
1456213,40-59 år,Lav fruktbarhet (LMM),2029
658824,60-69 år,Lav fruktbarhet (LMM),2029
507958,70-79 år,Lav fruktbarhet (LMM),2029
342210,80 år eller eldre,Lav fruktbarhet (LMM),2029
507891,0-9 år,Lav fruktbarhet (LMM),2030
624008,10-19 år,Lav fruktbarhet (LMM),2030
1469793,20-39 år,Lav fruktbarhet (LMM),2030
1458730,40-59 år,Lav fruktbarhet (LMM),2030
669996,60-69 år,Lav fruktbarhet (LMM),2030
514415,70-79 år,Lav fruktbarhet (LMM),2030
356876,80 år eller eldre,Lav fruktbarhet (LMM),2030
502054,0-9 år,Lav fruktbarhet (LMM),2031
613238,10-19 år,Lav fruktbarhet (LMM),2031
1466166,20-39 år,Lav fruktbarhet (LMM),2031
1464048,40-59 år,Lav fruktbarhet (LMM),2031
679727,60-69 år,Lav fruktbarhet (LMM),2031
520893,70-79 år,Lav fruktbarhet (LMM),2031
370713,80 år eller eldre,Lav fruktbarhet (LMM),2031
492838,0-9 år,Lav fruktbarhet (LMM),2032
607376,10-19 år,Lav fruktbarhet (LMM),2032
1461440,20-39 år,Lav fruktbarhet (LMM),2032
1467799,40-59 år,Lav fruktbarhet (LMM),2032
689641,60-69 år,Lav fruktbarhet (LMM),2032
528811,70-79 år,Lav fruktbarhet (LMM),2032
382951,80 år eller eldre,Lav fruktbarhet (LMM),2032
491925,0-9 år,Lav fruktbarhet (LMM),2033
593605,10-19 år,Lav fruktbarhet (LMM),2033
1456967,20-39 år,Lav fruktbarhet (LMM),2033
1470818,40-59 år,Lav fruktbarhet (LMM),2033
698615,60-69 år,Lav fruktbarhet (LMM),2033
535602,70-79 år,Lav fruktbarhet (LMM),2033
396379,80 år eller eldre,Lav fruktbarhet (LMM),2033
490487,0-9 år,Lav fruktbarhet (LMM),2034
582027,10-19 år,Lav fruktbarhet (LMM),2034
1451659,20-39 år,Lav fruktbarhet (LMM),2034
1475220,40-59 år,Lav fruktbarhet (LMM),2034
703778,60-69 år,Lav fruktbarhet (LMM),2034
543268,70-79 år,Lav fruktbarhet (LMM),2034
409543,80 år eller eldre,Lav fruktbarhet (LMM),2034
488572,0-9 år,Lav fruktbarhet (LMM),2035
571083,10-19 år,Lav fruktbarhet (LMM),2035
1446293,20-39 år,Lav fruktbarhet (LMM),2035
1479480,40-59 år,Lav fruktbarhet (LMM),2035
706225,60-69 år,Lav fruktbarhet (LMM),2035
552948,70-79 år,Lav fruktbarhet (LMM),2035
422373,80 år eller eldre,Lav fruktbarhet (LMM),2035
486636,0-9 år,Lav fruktbarhet (LMM),2036
560485,10-19 år,Lav fruktbarhet (LMM),2036
1440178,20-39 år,Lav fruktbarhet (LMM),2036
1486753,40-59 år,Lav fruktbarhet (LMM),2036
704838,60-69 år,Lav fruktbarhet (LMM),2036
562787,70-79 år,Lav fruktbarhet (LMM),2036
435259,80 år eller eldre,Lav fruktbarhet (LMM),2036
484839,0-9 år,Lav fruktbarhet (LMM),2037
549861,10-19 år,Lav fruktbarhet (LMM),2037
1433404,20-39 år,Lav fruktbarhet (LMM),2037
1496361,40-59 år,Lav fruktbarhet (LMM),2037
700538,60-69 år,Lav fruktbarhet (LMM),2037
572435,70-79 år,Lav fruktbarhet (LMM),2037
448483,80 år eller eldre,Lav fruktbarhet (LMM),2037
483185,0-9 år,Lav fruktbarhet (LMM),2038
541562,10-19 år,Lav fruktbarhet (LMM),2038
1425537,20-39 år,Lav fruktbarhet (LMM),2038
1505967,40-59 år,Lav fruktbarhet (LMM),2038
694370,60-69 år,Lav fruktbarhet (LMM),2038
583022,70-79 år,Lav fruktbarhet (LMM),2038
460346,80 år eller eldre,Lav fruktbarhet (LMM),2038
481724,0-9 år,Lav fruktbarhet (LMM),2039
534633,10-19 år,Lav fruktbarhet (LMM),2039
1417513,20-39 år,Lav fruktbarhet (LMM),2039
1512429,40-59 år,Lav fruktbarhet (LMM),2039
688070,60-69 år,Lav fruktbarhet (LMM),2039
594297,70-79 år,Lav fruktbarhet (LMM),2039
472505,80 år eller eldre,Lav fruktbarhet (LMM),2039
480473,0-9 år,Lav fruktbarhet (LMM),2040
527919,10-19 år,Lav fruktbarhet (LMM),2040
1408413,20-39 år,Lav fruktbarhet (LMM),2040
1519026,40-59 år,Lav fruktbarhet (LMM),2040
681565,60-69 år,Lav fruktbarhet (LMM),2040
605745,70-79 år,Lav fruktbarhet (LMM),2040
484374,80 år eller eldre,Lav fruktbarhet (LMM),2040
479345,0-9 år,Lav fruktbarhet (LMM),2041
522405,10-19 år,Lav fruktbarhet (LMM),2041
1398002,20-39 år,Lav fruktbarhet (LMM),2041
1524458,40-59 år,Lav fruktbarhet (LMM),2041
677579,60-69 år,Lav fruktbarhet (LMM),2041
615705,70-79 år,Lav fruktbarhet (LMM),2041
495549,80 år eller eldre,Lav fruktbarhet (LMM),2041
478244,0-9 år,Lav fruktbarhet (LMM),2042
513543,10-19 år,Lav fruktbarhet (LMM),2042
1393308,20-39 år,Lav fruktbarhet (LMM),2042
1527998,40-59 år,Lav fruktbarhet (LMM),2042
672129,60-69 år,Lav fruktbarhet (LMM),2042
625848,70-79 år,Lav fruktbarhet (LMM),2042
506700,80 år eller eldre,Lav fruktbarhet (LMM),2042
477062,0-9 år,Lav fruktbarhet (LMM),2043
512743,10-19 år,Lav fruktbarhet (LMM),2043
1381669,20-39 år,Lav fruktbarhet (LMM),2043
1528840,40-59 år,Lav fruktbarhet (LMM),2043
668232,60-69 år,Lav fruktbarhet (LMM),2043
635069,70-79 år,Lav fruktbarhet (LMM),2043
518096,80 år eller eldre,Lav fruktbarhet (LMM),2043
475733,0-9 år,Lav fruktbarhet (LMM),2044
511418,10-19 år,Lav fruktbarhet (LMM),2044
1369419,20-39 år,Lav fruktbarhet (LMM),2044
1531009,40-59 år,Lav fruktbarhet (LMM),2044
666212,60-69 år,Lav fruktbarhet (LMM),2044
640743,70-79 år,Lav fruktbarhet (LMM),2044
530298,80 år eller eldre,Lav fruktbarhet (LMM),2044
474202,0-9 år,Lav fruktbarhet (LMM),2045
509627,10-19 år,Lav fruktbarhet (LMM),2045
1357029,20-39 år,Lav fruktbarhet (LMM),2045
1533159,40-59 år,Lav fruktbarhet (LMM),2045
664885,60-69 år,Lav fruktbarhet (LMM),2045
643963,70-79 år,Lav fruktbarhet (LMM),2045
544259,80 år eller eldre,Lav fruktbarhet (LMM),2045
472353,0-9 år,Lav fruktbarhet (LMM),2046
507798,10-19 år,Lav fruktbarhet (LMM),2046
1344651,20-39 år,Lav fruktbarhet (LMM),2046
1534175,40-59 år,Lav fruktbarhet (LMM),2046
667216,60-69 år,Lav fruktbarhet (LMM),2046
643607,70-79 år,Lav fruktbarhet (LMM),2046
558752,80 år eller eldre,Lav fruktbarhet (LMM),2046
470091,0-9 år,Lav fruktbarhet (LMM),2047
506085,10-19 år,Lav fruktbarhet (LMM),2047
1330564,20-39 år,Lav fruktbarhet (LMM),2047
1535409,40-59 år,Lav fruktbarhet (LMM),2047
672689,60-69 år,Lav fruktbarhet (LMM),2047
640529,70-79 år,Lav fruktbarhet (LMM),2047
573717,80 år eller eldre,Lav fruktbarhet (LMM),2047
467382,0-9 år,Lav fruktbarhet (LMM),2048
504502,10-19 år,Lav fruktbarhet (LMM),2048
1316617,20-39 år,Lav fruktbarhet (LMM),2048
1535559,40-59 år,Lav fruktbarhet (LMM),2048
680303,60-69 år,Lav fruktbarhet (LMM),2048
635671,70-79 år,Lav fruktbarhet (LMM),2048
588646,80 år eller eldre,Lav fruktbarhet (LMM),2048
464211,0-9 år,Lav fruktbarhet (LMM),2049
503094,10-19 år,Lav fruktbarhet (LMM),2049
1300894,20-39 år,Lav fruktbarhet (LMM),2049
1534293,40-59 år,Lav fruktbarhet (LMM),2049
689327,60-69 år,Lav fruktbarhet (LMM),2049
630787,70-79 år,Lav fruktbarhet (LMM),2049
604727,80 år eller eldre,Lav fruktbarhet (LMM),2049
460548,0-9 år,Lav fruktbarhet (LMM),2050
501884,10-19 år,Lav fruktbarhet (LMM),2050
1284147,20-39 år,Lav fruktbarhet (LMM),2050
1532830,40-59 år,Lav fruktbarhet (LMM),2050
698876,60-69 år,Lav fruktbarhet (LMM),2050
625746,70-79 år,Lav fruktbarhet (LMM),2050
620930,80 år eller eldre,Lav fruktbarhet (LMM),2050
456453,0-9 år,Lav fruktbarhet (LMM),2051
500785,10-19 år,Lav fruktbarhet (LMM),2051
1268175,20-39 år,Lav fruktbarhet (LMM),2051
1529022,40-59 år,Lav fruktbarhet (LMM),2051
708822,60-69 år,Lav fruktbarhet (LMM),2051
622976,70-79 år,Lav fruktbarhet (LMM),2051
635374,80 år eller eldre,Lav fruktbarhet (LMM),2051
451963,0-9 år,Lav fruktbarhet (LMM),2052
499714,10-19 år,Lav fruktbarhet (LMM),2052
1253597,20-39 år,Lav fruktbarhet (LMM),2052
1524216,40-59 år,Lav fruktbarhet (LMM),2052
718752,60-69 år,Lav fruktbarhet (LMM),2052
618943,70-79 år,Lav fruktbarhet (LMM),2052
650061,80 år eller eldre,Lav fruktbarhet (LMM),2052
447188,0-9 år,Lav fruktbarhet (LMM),2053
498559,10-19 år,Lav fruktbarhet (LMM),2053
1239383,20-39 år,Lav fruktbarhet (LMM),2053
1519692,40-59 år,Lav fruktbarhet (LMM),2053
726552,60-69 år,Lav fruktbarhet (LMM),2053
616362,70-79 år,Lav fruktbarhet (LMM),2053
664187,80 år eller eldre,Lav fruktbarhet (LMM),2053
442186,0-9 år,Lav fruktbarhet (LMM),2054
497253,10-19 år,Lav fruktbarhet (LMM),2054
1226725,20-39 år,Lav fruktbarhet (LMM),2054
1514351,40-59 år,Lav fruktbarhet (LMM),2054
733826,60-69 år,Lav fruktbarhet (LMM),2054
615430,70-79 år,Lav fruktbarhet (LMM),2054
675854,80 år eller eldre,Lav fruktbarhet (LMM),2054
437054,0-9 år,Lav fruktbarhet (LMM),2055
495747,10-19 år,Lav fruktbarhet (LMM),2055
1214216,20-39 år,Lav fruktbarhet (LMM),2055
1508894,40-59 år,Lav fruktbarhet (LMM),2055
740399,60-69 år,Lav fruktbarhet (LMM),2055
615185,70-79 år,Lav fruktbarhet (LMM),2055
686889,80 år eller eldre,Lav fruktbarhet (LMM),2055
431894,0-9 år,Lav fruktbarhet (LMM),2056
493925,10-19 år,Lav fruktbarhet (LMM),2056
1202005,20-39 år,Lav fruktbarhet (LMM),2056
1502779,40-59 år,Lav fruktbarhet (LMM),2056
746230,60-69 år,Lav fruktbarhet (LMM),2056
618292,70-79 år,Lav fruktbarhet (LMM),2056
695117,80 år eller eldre,Lav fruktbarhet (LMM),2056
426822,0-9 år,Lav fruktbarhet (LMM),2057
491702,10-19 år,Lav fruktbarhet (LMM),2057
1189906,20-39 år,Lav fruktbarhet (LMM),2057
1496045,40-59 år,Lav fruktbarhet (LMM),2057
751216,60-69 år,Lav fruktbarhet (LMM),2057
624314,70-79 år,Lav fruktbarhet (LMM),2057
701278,80 år eller eldre,Lav fruktbarhet (LMM),2057
421898,0-9 år,Lav fruktbarhet (LMM),2058
489034,10-19 år,Lav fruktbarhet (LMM),2058
1180114,20-39 år,Lav fruktbarhet (LMM),2058
1488292,40-59 år,Lav fruktbarhet (LMM),2058
754064,60-69 år,Lav fruktbarhet (LMM),2058
632354,70-79 år,Lav fruktbarhet (LMM),2058
705759,80 år eller eldre,Lav fruktbarhet (LMM),2058
417205,0-9 år,Lav fruktbarhet (LMM),2059
485908,10-19 år,Lav fruktbarhet (LMM),2059
1171743,20-39 år,Lav fruktbarhet (LMM),2059
1480471,40-59 år,Lav fruktbarhet (LMM),2059
752634,60-69 år,Lav fruktbarhet (LMM),2059
641834,70-79 år,Lav fruktbarhet (LMM),2059
711250,80 år eller eldre,Lav fruktbarhet (LMM),2059
412824,0-9 år,Lav fruktbarhet (LMM),2060
482297,10-19 år,Lav fruktbarhet (LMM),2060
1163750,20-39 år,Lav fruktbarhet (LMM),2060
1471617,40-59 år,Lav fruktbarhet (LMM),2060
750828,60-69 år,Lav fruktbarhet (LMM),2060
651853,70-79 år,Lav fruktbarhet (LMM),2060
716724,80 år eller eldre,Lav fruktbarhet (LMM),2060
408779,0-9 år,Lav fruktbarhet (LMM),2061
478259,10-19 år,Lav fruktbarhet (LMM),2061
1156947,20-39 år,Lav fruktbarhet (LMM),2061
1461560,40-59 år,Lav fruktbarhet (LMM),2061
747574,60-69 år,Lav fruktbarhet (LMM),2061
662315,70-79 år,Lav fruktbarhet (LMM),2061
722721,80 år eller eldre,Lav fruktbarhet (LMM),2061
405111,0-9 år,Lav fruktbarhet (LMM),2062
473832,10-19 år,Lav fruktbarhet (LMM),2062
1147029,20-39 år,Lav fruktbarhet (LMM),2062
1456885,40-59 år,Lav fruktbarhet (LMM),2062
742423,60-69 år,Lav fruktbarhet (LMM),2062
672721,70-79 år,Lav fruktbarhet (LMM),2062
727908,80 år eller eldre,Lav fruktbarhet (LMM),2062
401804,0-9 år,Lav fruktbarhet (LMM),2063
469121,10-19 år,Lav fruktbarhet (LMM),2063
1144504,20-39 år,Lav fruktbarhet (LMM),2063
1445783,40-59 år,Lav fruktbarhet (LMM),2063
736830,60-69 år,Lav fruktbarhet (LMM),2063
681113,70-79 år,Lav fruktbarhet (LMM),2063
734088,80 år eller eldre,Lav fruktbarhet (LMM),2063
398884,0-9 år,Lav fruktbarhet (LMM),2064
464187,10-19 år,Lav fruktbarhet (LMM),2064
1141365,20-39 år,Lav fruktbarhet (LMM),2064
1434092,40-59 år,Lav fruktbarhet (LMM),2064
732992,60-69 år,Lav fruktbarhet (LMM),2064
688964,70-79 år,Lav fruktbarhet (LMM),2064
739776,80 år eller eldre,Lav fruktbarhet (LMM),2064
396319,0-9 år,Lav fruktbarhet (LMM),2065
459125,10-19 år,Lav fruktbarhet (LMM),2065
1137637,20-39 år,Lav fruktbarhet (LMM),2065
1422259,40-59 år,Lav fruktbarhet (LMM),2065
729736,60-69 år,Lav fruktbarhet (LMM),2065
696132,70-79 år,Lav fruktbarhet (LMM),2065
745840,80 år eller eldre,Lav fruktbarhet (LMM),2065
394071,0-9 år,Lav fruktbarhet (LMM),2066
454041,10-19 år,Lav fruktbarhet (LMM),2066
1133589,20-39 år,Lav fruktbarhet (LMM),2066
1410444,40-59 år,Lav fruktbarhet (LMM),2066
726158,60-69 år,Lav fruktbarhet (LMM),2066
702562,70-79 år,Lav fruktbarhet (LMM),2066
752800,80 år eller eldre,Lav fruktbarhet (LMM),2066
392102,0-9 år,Lav fruktbarhet (LMM),2067
449044,10-19 år,Lav fruktbarhet (LMM),2067
1129293,20-39 år,Lav fruktbarhet (LMM),2067
1396995,40-59 år,Lav fruktbarhet (LMM),2067
723611,60-69 år,Lav fruktbarhet (LMM),2067
708184,70-79 år,Lav fruktbarhet (LMM),2067
760995,80 år eller eldre,Lav fruktbarhet (LMM),2067
390379,0-9 år,Lav fruktbarhet (LMM),2068
444196,10-19 år,Lav fruktbarhet (LMM),2068
1124727,20-39 år,Lav fruktbarhet (LMM),2068
1383694,40-59 år,Lav fruktbarhet (LMM),2068
722052,60-69 år,Lav fruktbarhet (LMM),2068
711724,70-79 år,Lav fruktbarhet (LMM),2068
770007,80 år eller eldre,Lav fruktbarhet (LMM),2068
388847,0-9 år,Lav fruktbarhet (LMM),2069
439585,10-19 år,Lav fruktbarhet (LMM),2069
1119918,20-39 år,Lav fruktbarhet (LMM),2069
1368673,40-59 år,Lav fruktbarhet (LMM),2069
723361,60-69 år,Lav fruktbarhet (LMM),2069
711211,70-79 år,Lav fruktbarhet (LMM),2069
781802,80 år eller eldre,Lav fruktbarhet (LMM),2069
387474,0-9 år,Lav fruktbarhet (LMM),2070
435283,10-19 år,Lav fruktbarhet (LMM),2070
1114872,20-39 år,Lav fruktbarhet (LMM),2070
1352658,40-59 år,Lav fruktbarhet (LMM),2070
724852,60-69 år,Lav fruktbarhet (LMM),2070
710342,70-79 år,Lav fruktbarhet (LMM),2070
794603,80 år eller eldre,Lav fruktbarhet (LMM),2070
386203,0-9 år,Lav fruktbarhet (LMM),2071
431330,10-19 år,Lav fruktbarhet (LMM),2071
1109566,20-39 år,Lav fruktbarhet (LMM),2071
1337390,40-59 år,Lav fruktbarhet (LMM),2071
725496,60-69 år,Lav fruktbarhet (LMM),2071
708106,70-79 år,Lav fruktbarhet (LMM),2071
808773,80 år eller eldre,Lav fruktbarhet (LMM),2071
385008,0-9 år,Lav fruktbarhet (LMM),2072
427753,10-19 år,Lav fruktbarhet (LMM),2072
1103960,20-39 år,Lav fruktbarhet (LMM),2072
1323439,40-59 år,Lav fruktbarhet (LMM),2072
726971,60-69 år,Lav fruktbarhet (LMM),2072
704011,70-79 år,Lav fruktbarhet (LMM),2072
822561,80 år eller eldre,Lav fruktbarhet (LMM),2072
383850,0-9 år,Lav fruktbarhet (LMM),2073
424541,10-19 år,Lav fruktbarhet (LMM),2073
1098045,20-39 år,Lav fruktbarhet (LMM),2073
1309814,40-59 år,Lav fruktbarhet (LMM),2073
729106,60-69 år,Lav fruktbarhet (LMM),2073
699460,70-79 år,Lav fruktbarhet (LMM),2073
835707,80 år eller eldre,Lav fruktbarhet (LMM),2073
382686,0-9 år,Lav fruktbarhet (LMM),2074
421713,10-19 år,Lav fruktbarhet (LMM),2074
1091815,20-39 år,Lav fruktbarhet (LMM),2074
1297684,40-59 år,Lav fruktbarhet (LMM),2074
728702,60-69 år,Lav fruktbarhet (LMM),2074
696554,70-79 år,Lav fruktbarhet (LMM),2074
848108,80 år eller eldre,Lav fruktbarhet (LMM),2074
381491,0-9 år,Lav fruktbarhet (LMM),2075
419245,10-19 år,Lav fruktbarhet (LMM),2075
1085326,20-39 år,Lav fruktbarhet (LMM),2075
1285716,40-59 år,Lav fruktbarhet (LMM),2075
727590,60-69 år,Lav fruktbarhet (LMM),2075
694189,70-79 år,Lav fruktbarhet (LMM),2075
860291,80 år eller eldre,Lav fruktbarhet (LMM),2075
380222,0-9 år,Lav fruktbarhet (LMM),2076
417096,10-19 år,Lav fruktbarhet (LMM),2076
1078555,20-39 år,Lav fruktbarhet (LMM),2076
1274052,40-59 år,Lav fruktbarhet (LMM),2076
726184,60-69 år,Lav fruktbarhet (LMM),2076
691497,70-79 år,Lav fruktbarhet (LMM),2076
872543,80 år eller eldre,Lav fruktbarhet (LMM),2076
378861,0-9 år,Lav fruktbarhet (LMM),2077
415224,10-19 år,Lav fruktbarhet (LMM),2077
1071529,20-39 år,Lav fruktbarhet (LMM),2077
1262501,40-59 år,Lav fruktbarhet (LMM),2077
723204,60-69 år,Lav fruktbarhet (LMM),2077
689795,70-79 år,Lav fruktbarhet (LMM),2077
884978,80 år eller eldre,Lav fruktbarhet (LMM),2077
377382,0-9 år,Lav fruktbarhet (LMM),2078
413598,10-19 år,Lav fruktbarhet (LMM),2078
1064265,20-39 år,Lav fruktbarhet (LMM),2078
1253207,40-59 år,Lav fruktbarhet (LMM),2078
718229,60-69 år,Lav fruktbarhet (LMM),2078
689011,70-79 år,Lav fruktbarhet (LMM),2078
895877,80 år eller eldre,Lav fruktbarhet (LMM),2078
375775,0-9 år,Lav fruktbarhet (LMM),2079
412164,10-19 år,Lav fruktbarhet (LMM),2079
1056829,20-39 år,Lav fruktbarhet (LMM),2079
1245310,40-59 år,Lav fruktbarhet (LMM),2079
710357,60-69 år,Lav fruktbarhet (LMM),2079
690962,70-79 år,Lav fruktbarhet (LMM),2079
905127,80 år eller eldre,Lav fruktbarhet (LMM),2079
374024,0-9 år,Lav fruktbarhet (LMM),2080
410884,10-19 år,Lav fruktbarhet (LMM),2080
1049253,20-39 år,Lav fruktbarhet (LMM),2080
1237792,40-59 år,Lav fruktbarhet (LMM),2080
701320,60-69 år,Lav fruktbarhet (LMM),2080
693106,70-79 år,Lav fruktbarhet (LMM),2080
914466,80 år eller eldre,Lav fruktbarhet (LMM),2080
372130,0-9 år,Lav fruktbarhet (LMM),2081
409703,10-19 år,Lav fruktbarhet (LMM),2081
1041623,20-39 år,Lav fruktbarhet (LMM),2081
1231450,40-59 år,Lav fruktbarhet (LMM),2081
691936,60-69 år,Lav fruktbarhet (LMM),2081
694420,70-79 år,Lav fruktbarhet (LMM),2081
923250,80 år eller eldre,Lav fruktbarhet (LMM),2081
370099,0-9 år,Lav fruktbarhet (LMM),2082
408593,10-19 år,Lav fruktbarhet (LMM),2082
1034002,20-39 år,Lav fruktbarhet (LMM),2082
1222087,40-59 år,Lav fruktbarhet (LMM),2082
686864,60-69 år,Lav fruktbarhet (LMM),2082
696486,70-79 år,Lav fruktbarhet (LMM),2082
929361,80 år eller eldre,Lav fruktbarhet (LMM),2082
367935,0-9 år,Lav fruktbarhet (LMM),2083
407519,10-19 år,Lav fruktbarhet (LMM),2083
1026480,20-39 år,Lav fruktbarhet (LMM),2083
1219906,40-59 år,Lav fruktbarhet (LMM),2083
674869,60-69 år,Lav fruktbarhet (LMM),2083
699150,70-79 år,Lav fruktbarhet (LMM),2083
933922,80 år eller eldre,Lav fruktbarhet (LMM),2083
365670,0-9 år,Lav fruktbarhet (LMM),2084
406429,10-19 år,Lav fruktbarhet (LMM),2084
1019115,20-39 år,Lav fruktbarhet (LMM),2084
1217140,40-59 år,Lav fruktbarhet (LMM),2084
664791,60-69 år,Lav fruktbarhet (LMM),2084
699352,70-79 år,Lav fruktbarhet (LMM),2084
938900,80 år eller eldre,Lav fruktbarhet (LMM),2084
363317,0-9 år,Lav fruktbarhet (LMM),2085
405310,10-19 år,Lav fruktbarhet (LMM),2085
1011984,20-39 år,Lav fruktbarhet (LMM),2085
1213804,40-59 år,Lav fruktbarhet (LMM),2085
655264,60-69 år,Lav fruktbarhet (LMM),2085
698865,70-79 år,Lav fruktbarhet (LMM),2085
943844,80 år eller eldre,Lav fruktbarhet (LMM),2085
360902,0-9 år,Lav fruktbarhet (LMM),2086
404116,10-19 år,Lav fruktbarhet (LMM),2086
1005132,20-39 år,Lav fruktbarhet (LMM),2086
1210176,40-59 år,Lav fruktbarhet (LMM),2086
646038,60-69 år,Lav fruktbarhet (LMM),2086
698070,70-79 år,Lav fruktbarhet (LMM),2086
948326,80 år eller eldre,Lav fruktbarhet (LMM),2086
358467,0-9 år,Lav fruktbarhet (LMM),2087
402822,10-19 år,Lav fruktbarhet (LMM),2087
998624,20-39 år,Lav fruktbarhet (LMM),2087
1206313,40-59 år,Lav fruktbarhet (LMM),2087
636798,60-69 år,Lav fruktbarhet (LMM),2087
695766,70-79 år,Lav fruktbarhet (LMM),2087
953848,80 år eller eldre,Lav fruktbarhet (LMM),2087
356034,0-9 år,Lav fruktbarhet (LMM),2088
401414,10-19 år,Lav fruktbarhet (LMM),2088
992506,20-39 år,Lav fruktbarhet (LMM),2088
1202194,40-59 år,Lav fruktbarhet (LMM),2088
629613,60-69 år,Lav fruktbarhet (LMM),2088
691493,70-79 år,Lav fruktbarhet (LMM),2088
958864,80 år eller eldre,Lav fruktbarhet (LMM),2088
353639,0-9 år,Lav fruktbarhet (LMM),2089
399871,10-19 år,Lav fruktbarhet (LMM),2089
986782,20-39 år,Lav fruktbarhet (LMM),2089
1197837,40-59 år,Lav fruktbarhet (LMM),2089
623611,60-69 år,Lav fruktbarhet (LMM),2089
684409,70-79 år,Lav fruktbarhet (LMM),2089
965121,80 år eller eldre,Lav fruktbarhet (LMM),2089
351304,0-9 år,Lav fruktbarhet (LMM),2090
398185,10-19 år,Lav fruktbarhet (LMM),2090
981492,20-39 år,Lav fruktbarhet (LMM),2090
1193249,40-59 år,Lav fruktbarhet (LMM),2090
617776,60-69 år,Lav fruktbarhet (LMM),2090
676187,70-79 år,Lav fruktbarhet (LMM),2090
971999,80 år eller eldre,Lav fruktbarhet (LMM),2090
349060,0-9 år,Lav fruktbarhet (LMM),2091
396355,10-19 år,Lav fruktbarhet (LMM),2091
976616,20-39 år,Lav fruktbarhet (LMM),2091
1188390,40-59 år,Lav fruktbarhet (LMM),2091
612963,60-69 år,Lav fruktbarhet (LMM),2091
667603,70-79 år,Lav fruktbarhet (LMM),2091
978006,80 år eller eldre,Lav fruktbarhet (LMM),2091
346928,0-9 år,Lav fruktbarhet (LMM),2092
394383,10-19 år,Lav fruktbarhet (LMM),2092
972155,20-39 år,Lav fruktbarhet (LMM),2092
1183230,40-59 år,Lav fruktbarhet (LMM),2092
605142,60-69 år,Lav fruktbarhet (LMM),2092
663199,70-79 år,Lav fruktbarhet (LMM),2092
982707,80 år eller eldre,Lav fruktbarhet (LMM),2092
344927,0-9 år,Lav fruktbarhet (LMM),2093
392287,10-19 år,Lav fruktbarhet (LMM),2093
968070,20-39 år,Lav fruktbarhet (LMM),2093
1177761,40-59 år,Lav fruktbarhet (LMM),2093
604395,60-69 år,Lav fruktbarhet (LMM),2093
652000,70-79 år,Lav fruktbarhet (LMM),2093
987108,80 år eller eldre,Lav fruktbarhet (LMM),2093
343058,0-9 år,Lav fruktbarhet (LMM),2094
390081,10-19 år,Lav fruktbarhet (LMM),2094
964334,20-39 år,Lav fruktbarhet (LMM),2094
1171972,40-59 år,Lav fruktbarhet (LMM),2094
603167,60-69 år,Lav fruktbarhet (LMM),2094
642641,70-79 år,Lav fruktbarhet (LMM),2094
990159,80 år eller eldre,Lav fruktbarhet (LMM),2094
341338,0-9 år,Lav fruktbarhet (LMM),2095
387789,10-19 år,Lav fruktbarhet (LMM),2095
960886,20-39 år,Lav fruktbarhet (LMM),2095
1165904,40-59 år,Lav fruktbarhet (LMM),2095
601535,60-69 år,Lav fruktbarhet (LMM),2095
633807,70-79 år,Lav fruktbarhet (LMM),2095
993119,80 år eller eldre,Lav fruktbarhet (LMM),2095
339759,0-9 år,Lav fruktbarhet (LMM),2096
385439,10-19 år,Lav fruktbarhet (LMM),2096
957660,20-39 år,Lav fruktbarhet (LMM),2096
