Befolkning,Alder,Alternativ,År
688070,60-69 år,Hovedalternativ (MMM),2039
594297,70-79 år,Hovedalternativ (MMM),2039
472505,80 år eller eldre,Hovedalternativ (MMM),2039
603969,0-9 år,Hovedalternativ (MMM),2040
584475,10-19 år,Hovedalternativ (MMM),2040
1408413,20-39 år,Hovedalternativ (MMM),2040
1519026,40-59 år,Hovedalternativ (MMM),2040
681565,60-69 år,Hovedalternativ (MMM),2040
605745,70-79 år,Hovedalternativ (MMM),2040
484374,80 år eller eldre,Hovedalternativ (MMM),2040
606658,0-9 år,Hovedalternativ (MMM),2041
588361,10-19 år,Hovedalternativ (MMM),2041
1398002,20-39 år,Hovedalternativ (MMM),2041
1524458,40-59 år,Hovedalternativ (MMM),2041
677579,60-69 år,Hovedalternativ (MMM),2041
615705,70-79 år,Hovedalternativ (MMM),2041
495549,80 år eller eldre,Hovedalternativ (MMM),2041
608671,0-9 år,Hovedalternativ (MMM),2042
589512,10-19 år,Hovedalternativ (MMM),2042
1393308,20-39 år,Hovedalternativ (MMM),2042
1527998,40-59 år,Hovedalternativ (MMM),2042
672129,60-69 år,Hovedalternativ (MMM),2042
625848,70-79 år,Hovedalternativ (MMM),2042
506700,80 år eller eldre,Hovedalternativ (MMM),2042
609901,0-9 år,Hovedalternativ (MMM),2043
592666,10-19 år,Hovedalternativ (MMM),2043
1388339,20-39 år,Hovedalternativ (MMM),2043
1528840,40-59 år,Hovedalternativ (MMM),2043
668232,60-69 år,Hovedalternativ (MMM),2043
635069,70-79 år,Hovedalternativ (MMM),2043
518096,80 år eller eldre,Hovedalternativ (MMM),2043
610276,0-9 år,Hovedalternativ (MMM),2044
596528,10-19 år,Hovedalternativ (MMM),2044
1382134,20-39 år,Hovedalternativ (MMM),2044
1531009,40-59 år,Hovedalternativ (MMM),2044
666212,60-69 år,Hovedalternativ (MMM),2044
640743,70-79 år,Hovedalternativ (MMM),2044
530298,80 år eller eldre,Hovedalternativ (MMM),2044
609752,0-9 år,Hovedalternativ (MMM),2045
600830,10-19 år,Hovedalternativ (MMM),2045
1375474,20-39 år,Hovedalternativ (MMM),2045
1533159,40-59 år,Hovedalternativ (MMM),2045
664885,60-69 år,Hovedalternativ (MMM),2045
643963,70-79 år,Hovedalternativ (MMM),2045
544259,80 år eller eldre,Hovedalternativ (MMM),2045
608214,0-9 år,Hovedalternativ (MMM),2046
605397,10-19 år,Hovedalternativ (MMM),2046
1369131,20-39 år,Hovedalternativ (MMM),2046
1534175,40-59 år,Hovedalternativ (MMM),2046
667216,60-69 år,Hovedalternativ (MMM),2046
643607,70-79 år,Hovedalternativ (MMM),2046
558752,80 år eller eldre,Hovedalternativ (MMM),2046
605589,0-9 år,Hovedalternativ (MMM),2047
610062,10-19 år,Hovedalternativ (MMM),2047
1361708,20-39 år,Hovedalternativ (MMM),2047
1535409,40-59 år,Hovedalternativ (MMM),2047
672689,60-69 år,Hovedalternativ (MMM),2047
640529,70-79 år,Hovedalternativ (MMM),2047
