,Befolkning,Alder,Alternativ,År,Pas rate,Pasienter på somatisk
485,1303005,20-39 år,Hovedalternativ (MMM),2091,0.31545352087433354,411037.514966861
486,1418563,40-59 år,Hovedalternativ (MMM),2091,0.3517648628440711,499000.61913067405
487,671337,60-69 år,Hovedalternativ (MMM),2091,0.4600095954156727,308821.4617575715
488,667603,70-79 år,Hovedalternativ (MMM),2091,0.5801394703743905,387302.8508403542
489,978006,80 år eller eldre,Hovedalternativ (MMM),2091,0.686782386503144,671677.2946943939
490,560726,0-9 år,Hovedalternativ (MMM),2092,0.3156671442232106,177002.775111704
491,594484,10-19 år,Hovedalternativ (MMM),2092,0.25080832122654634,149101.53403604217
492,1304700,20-39 år,Hovedalternativ (MMM),2092,0.31545352087433354,411572.208684743
493,1416602,40-59 år,Hovedalternativ (MMM),2092,0.3517648628440711,498310.8082346368
494,672410,60-69 år,Hovedalternativ (MMM),2092,0.4600095954156727,309315.05205345247
495,663199,70-79 år,Hovedalternativ (MMM),2092,0.5801394703743905,384747.9166128254
496,982707,80 år eller eldre,Hovedalternativ (MMM),2092,0.686782386503144,674905.8586933452
497,560650,0-9 år,Hovedalternativ (MMM),2093,0.3156671442232106,176978.78440874303
498,592519,10-19 år,Hovedalternativ (MMM),2093,0.25080832122654634,148608.695684832
499,1306516,20-39 år,Hovedalternativ (MMM),2093,0.31545352087433354,412145.07227865077
500,1414033,40-59 år,Hovedalternativ (MMM),2093,0.3517648628440711,497407.1243019904
501,675210,60-69 år,Hovedalternativ (MMM),2093,0.4600095954156727,310603.07892061636
502,657899,70-79 år,Hovedalternativ (MMM),2093,0.5801394703743905,381673.1774198411
503,987108,80 år eller eldre,Hovedalternativ (MMM),2093,0.686782386503144,677928.3879763455
504,560842,0-9 år,Hovedalternativ (MMM),2094,0.3156671442232106,177039.3925004339
505,590535,10-19 år,Hovedalternativ (MMM),2094,0.25080832122654634,148111.09197551853
506,1308348,20-39 år,Hovedalternativ (MMM),2094,0.31545352087433354,412722.98312889255
507,1410899,40-59 år,Hovedalternativ (MMM),2094,0.3517648628440711,496304.69322183705
508,678623,60-69 år,Hovedalternativ (MMM),2094,0.4600095954156727,312173.0916697701
509,653902,70-79 år,Hovedalternativ (MMM),2094,0.5801394703743905,379354.3599567547
510,990159,80 år eller eldre,Hovedalternativ (MMM),2094,0.686782386503144,680023.7610375666
511,561262,0-9 år,Hovedalternativ (MMM),2095,0.3156671442232106,177171.97270100765
512,588602,10-19 år,Hovedalternativ (MMM),2095,0.25080832122654634,147626.27949058762
513,1310084,20-39 år,Hovedalternativ (MMM),2095,0.31545352087433354,413270.61044113035
514,1407290,40-59 år,Hovedalternativ (MMM),2095,0.3517648628440711,495035.1738318328
515,682442,60-69 år,Hovedalternativ (MMM),2095,0.4600095954156727,313929.86831466254
516,650161,70-79 år,Hovedalternativ (MMM),2095,0.5801394703743905,377184.0581980841
517,993119,80 år eller eldre,Hovedalternativ (MMM),2095,0.686782386503144,682056.6369016159
518,561889,0-9 år,Hovedalternativ (MMM),2096,0.3156671442232106,177369.8960004356
519,586777,10-19 år,Hovedalternativ (MMM),2096,0.25080832122654634,147168.55430434918
