Alternativ,År,Befolkning
Hovedalternativ (MMM),2058,6091372
Hovedalternativ (MMM),2059,6096426
Hovedalternativ (MMM),2060,6101191
Hovedalternativ (MMM),2061,6105766
Hovedalternativ (MMM),2062,6110198
Hovedalternativ (MMM),2063,6114578
Hovedalternativ (MMM),2064,6118988
Hovedalternativ (MMM),2065,6123483
Hovedalternativ (MMM),2066,6128107
Hovedalternativ (MMM),2067,6132917
Hovedalternativ (MMM),2068,6137935
Hovedalternativ (MMM),2069,6143189
Hovedalternativ (MMM),2070,6148644
Hovedalternativ (MMM),2071,6154259
Hovedalternativ (MMM),2072,6159984
Hovedalternativ (MMM),2073,6165699
Hovedalternativ (MMM),2074,6171321
Hovedalternativ (MMM),2075,6176754
Hovedalternativ (MMM),2076,6181867
Hovedalternativ (MMM),2077,6186566
Hovedalternativ (MMM),2078,6190764
Hovedalternativ (MMM),2079,6194395
Hovedalternativ (MMM),2080,6197383
Hovedalternativ (MMM),2081,6199711
Hovedalternativ (MMM),2082,6201382
Hovedalternativ (MMM),2083,6202404
Hovedalternativ (MMM),2084,6202824
Hovedalternativ (MMM),2085,6202707
Hovedalternativ (MMM),2086,6202107
Hovedalternativ (MMM),2087,6201158
Hovedalternativ (MMM),2088,6199967
Hovedalternativ (MMM),2089,6198627
Hovedalternativ (MMM),2090,6197263
Hovedalternativ (MMM),2091,6195962
Hovedalternativ (MMM),2092,6194828
Hovedalternativ (MMM),2093,6193935
Hovedalternativ (MMM),2094,6193308
Hovedalternativ (MMM),2095,6192960
Hovedalternativ (MMM),2096,6192920
Hovedalternativ (MMM),2097,6193171
Hovedalternativ (MMM),2098,6193692
Hovedalternativ (MMM),2099,6194428
Hovedalternativ (MMM),2100,6195332
Lav nasjonal vekst (LLL),2022,5425270
Lav nasjonal vekst (LLL),2023,5478247
Lav nasjonal vekst (LLL),2024,5519433
Lav nasjonal vekst (LLL),2025,5549242
Lav nasjonal vekst (LLL),2026,5579839
Lav nasjonal vekst (LLL),2027,5610905
Lav nasjonal vekst (LLL),2028,5642195
Lav nasjonal vekst (LLL),2029,5673585
Lav nasjonal vekst (LLL),2030,5704684
Lav nasjonal vekst (LLL),2031,5735329
Lav nasjonal vekst (LLL),2032,5765437
Lav nasjonal vekst (LLL),2033,5795176
Lav nasjonal vekst (LLL),2034,5824532
Lav nasjonal vekst (LLL),2035,5853384
Lav nasjonal vekst (LLL),2036,5881808
Lav nasjonal vekst (LLL),2037,5909887
Lav nasjonal vekst (LLL),2038,5938033
Lav nasjonal vekst (LLL),2039,5965201
Lav nasjonal vekst (LLL),2040,5991454
Lav nasjonal vekst (LLL),2041,6016777
Lav nasjonal vekst (LLL),2042,6041187
Lav nasjonal vekst (LLL),2043,6064668
Lav nasjonal vekst (LLL),2044,6087187
Lav nasjonal vekst (LLL),2045,6108736
Lav nasjonal vekst (LLL),2046,6129315
Lav nasjonal vekst (LLL),2047,6148936
Lav nasjonal vekst (LLL),2048,6167641
Lav nasjonal vekst (LLL),2049,6185502
Lav nasjonal vekst (LLL),2050,6202592
Lav nasjonal vekst (LLL),2051,6219046
Lav nasjonal vekst (LLL),2052,6234992
Lav nasjonal vekst (LLL),2053,6250563
Lav nasjonal vekst (LLL),2054,6265841
Lav nasjonal vekst (LLL),2055,6280935
Lav nasjonal vekst (LLL),2056,6295871
Lav nasjonal vekst (LLL),2057,6310728
Lav nasjonal vekst (LLL),2058,6325510
Lav nasjonal vekst (LLL),2059,6340253
Lav nasjonal vekst (LLL),2060,6354954
Lav nasjonal vekst (LLL),2061,6369642
Lav nasjonal vekst (LLL),2062,6384356
Lav nasjonal vekst (LLL),2063,6399158
Lav nasjonal vekst (LLL),2064,6414084
Lav nasjonal vekst (LLL),2065,6429208
Lav nasjonal vekst (LLL),2066,6444547
Lav nasjonal vekst (LLL),2067,6460146
Lav nasjonal vekst (LLL),2068,6476032
Lav nasjonal vekst (LLL),2069,6492220
Lav nasjonal vekst (LLL),2070,6508676
Lav nasjonal vekst (LLL),2071,6525338
Lav nasjonal vekst (LLL),2072,6542135
Lav nasjonal vekst (LLL),2073,6558976
Lav nasjonal vekst (LLL),2074,6575739
Lav nasjonal vekst (LLL),2075,6592326
Lav nasjonal vekst (LLL),2076,6608615
Lav nasjonal vekst (LLL),2077,6624533
Lav nasjonal vekst (LLL),2078,6639993
Lav nasjonal vekst (LLL),2079,6654939
Lav nasjonal vekst (LLL),2080,6669323
Lav nasjonal vekst (LLL),2081,6683161
Lav nasjonal vekst (LLL),2082,6696475
Lav nasjonal vekst (LLL),2083,6709286
Lav nasjonal vekst (LLL),2084,6721684
Lav nasjonal vekst (LLL),2085,6733734
Lav nasjonal vekst (LLL),2086,6745517
Lav nasjonal vekst (LLL),2087,6757172
Lav nasjonal vekst (LLL),2088,6768799
Lav nasjonal vekst (LLL),2089,6780495
Lav nasjonal vekst (LLL),2090,6792383
Lav nasjonal vekst (LLL),2091,6804543
Lav nasjonal vekst (LLL),2092,6817043
Lav nasjonal vekst (LLL),2093,6829960
Lav nasjonal vekst (LLL),2094,6843294
Lav nasjonal vekst (LLL),2095,6857065
Lav nasjonal vekst (LLL),2096,6871259
Lav nasjonal vekst (LLL),2097,6885846
Lav nasjonal vekst (LLL),2098,6900795
Lav nasjonal vekst (LLL),2099,6916035
Lav nasjonal vekst (LLL),2100,6931513
Høy nasjonal vekst (HHH),2022,5425270
Høy nasjonal vekst (HHH),2023,5502778
Høy nasjonal vekst (HHH),2024,5556038
Høy nasjonal vekst (HHH),2025,5597444
Høy nasjonal vekst (HHH),2026,5629443
Høy nasjonal vekst (HHH),2027,5662248
Høy nasjonal vekst (HHH),2028,5695912
Høy nasjonal vekst (HHH),2029,5730373
Høy nasjonal vekst (HHH),2030,5765008
Høy nasjonal vekst (HHH),2031,5799726
Høy nasjonal vekst (HHH),2032,5834260
Høy nasjonal vekst (HHH),2033,5868873
Høy nasjonal vekst (HHH),2034,5903579
Høy nasjonal vekst (HHH),2035,5938154
Høy nasjonal vekst (HHH),2036,5972783
Høy nasjonal vekst (HHH),2037,6007470
Høy nasjonal vekst (HHH),2038,6041656
Høy nasjonal vekst (HHH),2039,6075320
Høy nasjonal vekst (HHH),2040,6108526
Høy nasjonal vekst (HHH),2041,6141235
Høy nasjonal vekst (HHH),2042,6173501
Høy nasjonal vekst (HHH),2043,6205363
Høy nasjonal vekst (HHH),2044,6236714
Høy nasjonal vekst (HHH),2045,6267584
Høy nasjonal vekst (HHH),2046,6297971
Høy nasjonal vekst (HHH),2047,6327909
Høy nasjonal vekst (HHH),2048,6357451
Høy nasjonal vekst (HHH),2049,6386574
Høy nasjonal vekst (HHH),2050,6415275
Høy nasjonal vekst (HHH),2051,6443627
Høy nasjonal vekst (HHH),2052,6471728
Høy nasjonal vekst (HHH),2053,6499659
Høy nasjonal vekst (HHH),2054,6527516
Høy nasjonal vekst (HHH),2055,6555356
Høy nasjonal vekst (HHH),2056,6583245
Høy nasjonal vekst (HHH),2057,6611297
Høy nasjonal vekst (HHH),2058,6639550
Høy nasjonal vekst (HHH),2059,6668070
Høy nasjonal vekst (HHH),2060,6696882
Høy nasjonal vekst (HHH),2061,6726061
Høy nasjonal vekst (HHH),2062,6755603
Høy nasjonal vekst (HHH),2063,6785535
Høy nasjonal vekst (HHH),2064,6815942
Høy nasjonal vekst (HHH),2065,6846862
Høy nasjonal vekst (HHH),2066,6878348
Høy nasjonal vekst (HHH),2067,6910423
Høy nasjonal vekst (HHH),2068,6943097
Høy nasjonal vekst (HHH),2069,6976378
Høy nasjonal vekst (HHH),2070,7010218
Høy nasjonal vekst (HHH),2071,7044561
Høy nasjonal vekst (HHH),2072,7079356
Høy nasjonal vekst (HHH),2073,7114480
Høy nasjonal vekst (HHH),2074,7149833
Høy nasjonal vekst (HHH),2075,7185318
Høy nasjonal vekst (HHH),2076,7220822
Høy nasjonal vekst (HHH),2077,7256265
Høy nasjonal vekst (HHH),2078,7291569
Høy nasjonal vekst (HHH),2079,7326638
Høy nasjonal vekst (HHH),2080,7361440
Høy nasjonal vekst (HHH),2081,7395930
Høy nasjonal vekst (HHH),2082,7430119
Høy nasjonal vekst (HHH),2083,7464046
Høy nasjonal vekst (HHH),2084,7497732
Høy nasjonal vekst (HHH),2085,7531260
Høy nasjonal vekst (HHH),2086,7564695
Høy nasjonal vekst (HHH),2087,7598139
Høy nasjonal vekst (HHH),2088,7631700
Høy nasjonal vekst (HHH),2089,7665501
Høy nasjonal vekst (HHH),2090,7699638
Høy nasjonal vekst (HHH),2091,7734222
Høy nasjonal vekst (HHH),2092,7769351
Høy nasjonal vekst (HHH),2093,7805073
Høy nasjonal vekst (HHH),2094,7841440
Høy nasjonal vekst (HHH),2095,7878482
Høy nasjonal vekst (HHH),2096,7916187
Høy nasjonal vekst (HHH),2097,7954570
Høy nasjonal vekst (HHH),2098,7993579
Høy nasjonal vekst (HHH),2099,8033182
Høy nasjonal vekst (HHH),2100,8073327
Lav fruktbarhet (LMM),2022,5425270
Lav fruktbarhet (LMM),2023,5476161
Lav fruktbarhet (LMM),2024,5514186
Lav fruktbarhet (LMM),2025,5540032
Lav fruktbarhet (LMM),2026,5566571
Lav fruktbarhet (LMM),2027,5593876
Lav fruktbarhet (LMM),2028,5621670
Lav fruktbarhet (LMM),2029,5649791
Lav fruktbarhet (LMM),2030,5677832
Lav fruktbarhet (LMM),2031,5705638
Lav fruktbarhet (LMM),2032,5733014
Lav fruktbarhet (LMM),2033,5760138
Lav fruktbarhet (LMM),2034,5787038
Lav fruktbarhet (LMM),2035,5813586
Lav fruktbarhet (LMM),2036,5839719
Lav fruktbarhet (LMM),2037,5865766
Lav fruktbarhet (LMM),2038,5890695
Lav fruktbarhet (LMM),2039,5914850
Lav fruktbarhet (LMM),2040,5937981
Lav fruktbarhet (LMM),2041,5960172
Lav fruktbarhet (LMM),2042,5981701
Lav fruktbarhet (LMM),2043,6002201
Lav fruktbarhet (LMM),2044,6021909
Lav fruktbarhet (LMM),2045,6040394
Lav fruktbarhet (LMM),2046,6058242
Lav fruktbarhet (LMM),2047,6075022
Lav fruktbarhet (LMM),2048,6090568
Lav fruktbarhet (LMM),2049,6105191
Lav fruktbarhet (LMM),2050,6119134
Lav fruktbarhet (LMM),2051,6131980
Lav fruktbarhet (LMM),2052,6143968
Lav fruktbarhet (LMM),2053,6155157
Lav fruktbarhet (LMM),2054,6165801
Lav fruktbarhet (LMM),2055,6175813
Lav fruktbarhet (LMM),2056,6185016
Lav fruktbarhet (LMM),2057,6193973
Lav fruktbarhet (LMM),2058,6202503
Lav fruktbarhet (LMM),2059,6210600
Lav fruktbarhet (LMM),2060,6218299
Lav fruktbarhet (LMM),2061,6225741
Lav fruktbarhet (LMM),2062,6232876
Lav fruktbarhet (LMM),2063,6240029
Lav fruktbarhet (LMM),2064,6247018
Lav fruktbarhet (LMM),2065,6254109
Lav fruktbarhet (LMM),2066,6260956
Lav fruktbarhet (LMM),2067,6268244
Lav fruktbarhet (LMM),2068,6275560
Lav fruktbarhet (LMM),2069,6282662
Lav fruktbarhet (LMM),2070,6289767
Lav fruktbarhet (LMM),2071,6297198
Lav fruktbarhet (LMM),2072,6304659
Lav fruktbarhet (LMM),2073,6312102
Lav fruktbarhet (LMM),2074,6319528
Lav fruktbarhet (LMM),2075,6326947
Lav fruktbarhet (LMM),2076,6334033
Lav fruktbarhet (LMM),2077,6340747
Lav fruktbarhet (LMM),2078,6346978
Lav fruktbarhet (LMM),2079,6352440
Lav fruktbarhet (LMM),2080,6357469
Lav fruktbarhet (LMM),2081,6362398
Lav fruktbarhet (LMM),2082,6366494
Lav fruktbarhet (LMM),2083,6369807
Lav fruktbarhet (LMM),2084,6372456
Lav fruktbarhet (LMM),2085,6374477
Lav fruktbarhet (LMM),2086,6375661
Lav fruktbarhet (LMM),2087,6376769
Lav fruktbarhet (LMM),2088,6377447
Lav fruktbarhet (LMM),2089,6377583
Lav fruktbarhet (LMM),2090,6377953
Lav fruktbarhet (LMM),2091,6378026
Lav fruktbarhet (LMM),2092,6378490
Lav fruktbarhet (LMM),2093,6378562
Lav fruktbarhet (LMM),2094,6378944
Lav fruktbarhet (LMM),2095,6379153
Lav fruktbarhet (LMM),2096,6379353
Lav fruktbarhet (LMM),2097,6380399
Lav fruktbarhet (LMM),2098,6381672
Lav fruktbarhet (LMM),2099,6383593
Lav fruktbarhet (LMM),2100,6385189
Høy fruktbarhet (HMM),2022,5425270
Høy fruktbarhet (HMM),2023,5507206
Høy fruktbarhet (HMM),2024,5566851
Høy fruktbarhet (HMM),2025,5616131
Høy fruktbarhet (HMM),2026,5656628
Høy fruktbarhet (HMM),2027,5698108
Høy fruktbarhet (HMM),2028,5740571
Høy fruktbarhet (HMM),2029,5783867
Høy fruktbarhet (HMM),2030,5827467
Høy fruktbarhet (HMM),2031,5871250
Høy fruktbarhet (HMM),2032,5914857
Høy fruktbarhet (HMM),2033,5958615
Høy fruktbarhet (HMM),2034,6002568
Høy fruktbarhet (HMM),2035,6046448
Høy fruktbarhet (HMM),2036,6090359
Høy fruktbarhet (HMM),2037,6134573
Høy fruktbarhet (HMM),2038,6179262
Høy fruktbarhet (HMM),2039,6223608
Høy fruktbarhet (HMM),2040,6267370
Høy fruktbarhet (HMM),2041,6310550
Høy fruktbarhet (HMM),2042,6353491
Høy fruktbarhet (HMM),2043,6395893
Høy fruktbarhet (HMM),2044,6437875
Høy fruktbarhet (HMM),2045,6479071
Høy fruktbarhet (HMM),2046,6520111
Høy fruktbarhet (HMM),2047,6560621
Høy fruktbarhet (HMM),2048,6600545
Høy fruktbarhet (HMM),2049,6640201
Høy fruktbarhet (HMM),2050,6679873
Høy fruktbarhet (HMM),2051,6719234
Høy fruktbarhet (HMM),2052,6758594
Høy fruktbarhet (HMM),2053,6798092
Høy fruktbarhet (HMM),2054,6838027
Høy fruktbarhet (HMM),2055,6878392
Høy fruktbarhet (HMM),2056,6918978
Høy fruktbarhet (HMM),2057,6960334
Høy fruktbarhet (HMM),2058,7002244
Høy fruktbarhet (HMM),2059,7044668
Høy fruktbarhet (HMM),2060,7087564
Høy fruktbarhet (HMM),2061,7131006
Høy fruktbarhet (HMM),2062,7174848
Høy fruktbarhet (HMM),2063,7219355
Høy fruktbarhet (HMM),2064,7264301
Høy fruktbarhet (HMM),2065,7309948
Høy fruktbarhet (HMM),2066,7355918
Høy fruktbarhet (HMM),2067,7402866
Høy fruktbarhet (HMM),2068,7450363
Høy fruktbarhet (HMM),2069,7498153
Høy fruktbarhet (HMM),2070,7546428
Høy fruktbarhet (HMM),2071,7595470
Høy fruktbarhet (HMM),2072,7645003
Høy fruktbarhet (HMM),2073,7694924
Høy fruktbarhet (HMM),2074,7745246
Høy fruktbarhet (HMM),2075,7795966
Høy fruktbarhet (HMM),2076,7846804
Høy fruktbarhet (HMM),2077,7897691
Høy fruktbarhet (HMM),2078,7948558
Høy fruktbarhet (HMM),2079,7999170
Høy fruktbarhet (HMM),2080,8049836
Høy fruktbarhet (HMM),2081,8100976
Høy fruktbarhet (HMM),2082,8151857
Høy fruktbarhet (HMM),2083,8202578
Høy fruktbarhet (HMM),2084,8253247
Høy fruktbarhet (HMM),2085,8303947
Høy fruktbarhet (HMM),2086,8354489
Høy fruktbarhet (HMM),2087,8405631
Høy fruktbarhet (HMM),2088,8457040
Høy fruktbarhet (HMM),2089,8508574
Høy fruktbarhet (HMM),2090,8561048
Høy fruktbarhet (HMM),2091,8613897
Høy fruktbarhet (HMM),2092,8667788
Høy fruktbarhet (HMM),2093,8721889
Høy fruktbarhet (HMM),2094,8776912
Høy fruktbarhet (HMM),2095,8832350
Høy fruktbarhet (HMM),2096,8888346
Høy fruktbarhet (HMM),2097,8945778
Høy fruktbarhet (HMM),2098,9004021
Høy fruktbarhet (HMM),2099,9063451
Høy fruktbarhet (HMM),2100,9123053
Lav levealder (MLM),2022,5425270
Lav levealder (MLM),2023,5437738
Lav levealder (MLM),2024,5449205
Lav levealder (MLM),2025,5459474
Lav levealder (MLM),2026,5469151
Lav levealder (MLM),2027,5478396
Lav levealder (MLM),2028,5487091
Lav levealder (MLM),2029,5495093
Lav levealder (MLM),2030,5502345
Lav levealder (MLM),2031,5508894
Lav levealder (MLM),2032,5514683
Lav levealder (MLM),2033,5519763
Lav levealder (MLM),2034,5524091
Lav levealder (MLM),2035,5527904
Lav levealder (MLM),2036,5531279
Lav levealder (MLM),2037,5534218
Lav levealder (MLM),2038,5536200
Lav levealder (MLM),2039,5537221
Lav levealder (MLM),2040,5537343
Lav levealder (MLM),2041,5536555
Lav levealder (MLM),2042,5534875
Lav levealder (MLM),2043,5532265
Lav levealder (MLM),2044,5528709
Lav levealder (MLM),2045,5524185
Lav levealder (MLM),2046,5518662
Lav levealder (MLM),2047,5512125
Lav levealder (MLM),2048,5504545
Lav levealder (MLM),2049,5495912
Lav levealder (MLM),2050,5486195
Lav levealder (MLM),2051,5475442
Lav levealder (MLM),2052,5463636
Lav levealder (MLM),2053,5450811
Lav levealder (MLM),2054,5437005
Lav levealder (MLM),2055,5422254
Lav levealder (MLM),2056,5406598
Lav levealder (MLM),2057,5390096
Lav levealder (MLM),2058,5372807
Lav levealder (MLM),2059,5354777
Lav levealder (MLM),2060,5336095
Lav levealder (MLM),2061,5316869
Lav levealder (MLM),2062,5297160
Lav levealder (MLM),2063,5277065
Lav levealder (MLM),2064,5256698
Lav levealder (MLM),2065,5236124
Lav levealder (MLM),2066,5215457
Lav levealder (MLM),2067,5194759
Lav levealder (MLM),2068,5174073
Lav levealder (MLM),2069,5153436
Lav levealder (MLM),2070,5132836
Lav levealder (MLM),2071,5112270
Lav levealder (MLM),2072,5091641
Lav levealder (MLM),2073,5070928
Lav levealder (MLM),2074,5050014
Lav levealder (MLM),2075,5028820
Lav levealder (MLM),2076,5007218
Lav levealder (MLM),2077,4985140
Lav levealder (MLM),2078,4962498
Lav levealder (MLM),2079,4939236
Lav levealder (MLM),2080,4915328
Lav levealder (MLM),2081,4890746
Lav levealder (MLM),2082,4865516
Lav levealder (MLM),2083,4839691
Lav levealder (MLM),2084,4813321
Lav levealder (MLM),2085,4786497
Lav levealder (MLM),2086,4759337
Lav levealder (MLM),2087,4731968
Lav levealder (MLM),2088,4704511
Lav levealder (MLM),2089,4677118
Lav levealder (MLM),2090,4649920
Lav levealder (MLM),2091,4623015
Lav levealder (MLM),2092,4596520
Lav levealder (MLM),2093,4570482
Lav levealder (MLM),2094,4544939
Lav levealder (MLM),2095,4519899
Lav levealder (MLM),2096,4495355
Lav levealder (MLM),2097,4471261
Lav levealder (MLM),2098,4447556
Lav levealder (MLM),2099,4424166
Lav levealder (MLM),2100,4400996
Høy levealder (MHM),2022,5425270
Høy levealder (MHM),2023,5437742
Høy levealder (MHM),2024,5449131
Høy levealder (MHM),2025,5459478
Høy levealder (MHM),2026,5469416
Høy levealder (MHM),2027,5479166
Høy levealder (MHM),2028,5488613
Høy levealder (MHM),2029,5497639
Høy levealder (MHM),2030,5506143
Høy levealder (MHM),2031,5514144
Høy levealder (MHM),2032,5521584
Høy levealder (MHM),2033,5528522
Høy levealder (MHM),2034,5534910
Høy levealder (MHM),2035,5540842
Høy levealder (MHM),2036,5546359
Høy levealder (MHM),2037,5551497
Høy levealder (MHM),2038,5555654
Høy levealder (MHM),2039,5558841
Høy levealder (MHM),2040,5561110
Høy levealder (MHM),2041,5562448
Høy levealder (MHM),2042,5562858
Høy levealder (MHM),2043,5562336
Høy levealder (MHM),2044,5560847
Høy levealder (MHM),2045,5558368
